code,term
106001000119101,Chronic obstructive lung disease co-occurrent with acute bronchitis
10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome
135836000,End stage chronic obstructive airways disease
13645005,Chronic obstructive lung disease
16003001,Giant bullous emphysema
16846004,Obstructive emphysema
1751000119100,Acute exacerbation of chronic obstructive airways disease with asthma
185086009,Chronic obstructive bronchitis
195949008,Chronic asthmatic bronchitis
195951007,Acute exacerbation of chronic obstructive airways disease
195953005,Mixed simple and mucopurulent chronic bronchitis
195957006,Chronic bullous emphysema
195958001,Segmental bullous emphysema
195959009,Zonal bullous emphysema
195963002,Acute vesicular emphysema
196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection
196026004,Chronic emphysema caused by chemical fumes
233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency
233675009,Toxic emphysema
233677001,Scar emphysema
23958009,Vanishing lung
266355005,Bullous emphysema with collapse
266356006,Atrophic (senile) emphysema
285381006,Acute infective exacerbation of chronic obstructive airways disease
293241000119100,Acute exacerbation of chronic obstructive bronchitis
293991000000106,Very severe chronic obstructive pulmonary disease
313296004,Mild chronic obstructive pulmonary disease
313297008,Moderate chronic obstructive pulmonary disease
313299006,Severe chronic obstructive pulmonary disease
31898008,Paraseptal emphysema
360470001,Chronic mucus hypersecretion
425748003,Acute exacerbation of chronic bronchitis
45145000,Unilateral emphysema
47895001,Congenital emphysema
49691004,Occupational bronchitis
4981000,Panacinar emphysema
52571006,Chronic tracheobronchitis
60805002,Hemolytic anemia with emphysema AND cutis laxa
61937009,Simple chronic bronchitis
63480004,Chronic bronchitis
66110007,Chronic diffuse emphysema caused by inhalation of chemical fumes AND/OR vapors
66987001,Congenital lobar emphysema
68328006,Centriacinar emphysema
70756004,Bronchial atresia with segmental pulmonary emphysema
708030004,Pulmonary emphysema co-occurrent with fibrosis of lung
74417001,Mucopurulent chronic bronchitis
785736001,Chronic bronchitis co-occurrent with wheeze
836477007,Chronic emphysema caused by vapor
840493007,Congenital lobar emphysema of bilateral lungs
84409004,Fetid chronic bronchitis
847091000000104,Acute non-infective exacerbation of chronic obstructive pulmonary disease
866901000000103,Eosinophilic bronchitis
87433001,Pulmonary emphysema
89549007,Catarrhal bronchitis
